,g,date,unnamed: 2_level_1,opp,w/l,tm,opp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,unnamed: 23_level_1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,season,team
31,30,2024-02-29,@,Gardner-Webb,L,69,72,30,65,.462,4,15,.267,5,9,.556,13,36,8,5,5,9,15,,23,51,.451,14,25,.560,12,20,.600,8,26,18,4,1,12,15,2024,longwood
32,31,2024-03-02,,High Point,W,74,72,26,59,.441,4,12,.333,18,24,.750,12,36,10,6,0,15,23,,21,51,.412,10,28,.357,20,27,.741,8,28,9,9,3,14,21,2024,longwood
33,32,2024-03-08,N,Winthrop,W,69,56,23,58,.397,7,19,.368,16,18,.889,11,33,8,8,1,7,13,,21,49,.429,9,26,.346,5,7,.714,5,29,15,5,6,14,18,2024,longwood
34,33,2024-03-09,@,High Point,W (1 OT),80,79,26,59,.441,8,15,.533,20,28,.714,13,40,16,4,4,13,22,,24,61,.393,11,33,.333,20,27,.741,13,29,10,5,2,12,21,2024,longwood
35,34,2024-03-10,N,UNC Asheville,W,85,59,31,52,.596,7,13,.538,16,23,.696,6,31,21,9,1,11,16,,21,55,.382,5,22,.227,12,14,.857,9,24,14,8,4,12,17,2024,longwood
36,35,2024-03-22,N,Houston,L,46,86,14,41,.341,3,13,.231,15,16,.938,4,14,9,4,1,18,16,,31,53,.585,11,23,.478,13,22,.591,10,28,16,12,5,8,13,2024,longwood
0,1,2023-11-06,,Youngstown State,W,72,62,23,65,.354,5,24,.208,21,24,.875,8,31,11,7,3,11,15,,24,60,.400,2,23,.087,12,18,.667,11,39,4,6,7,17,20,2024,louisiana lafayette
1,2,2023-11-11,@,Toledo,L,78,87,33,61,.541,9,23,.391,3,6,.500,10,30,17,4,5,17,22,,32,56,.571,3,9,.333,20,28,.714,7,24,17,10,4,8,12,2024,louisiana lafayette
2,3,2023-11-15,,Louisiana Christian,W,107,56,38,74,.514,18,41,.439,13,20,.650,17,43,27,10,7,10,16,,18,49,.367,0,10,.000,20,23,.870,3,21,9,5,3,21,14,2024,louisiana lafayette
3,4,2023-11-20,N,Wright State,L,85,91,31,60,.517,10,26,.385,13,15,.867,4,20,11,10,4,11,21,,35,63,.556,2,12,.167,19,28,.679,13,35,12,8,4,14,15,2024,louisiana lafayette
4,5,2023-11-21,N,Buffalo,W,68,60,25,59,.424,6,17,.353,12,17,.706,11,32,10,10,6,10,12,,22,54,.407,9,28,.321,7,12,.583,13,32,12,5,4,15,14,2024,louisiana lafayette
5,6,2023-11-22,N,Long Beach State,W,92,82,34,68,.500,18,37,.486,6,8,.750,12,30,20,5,3,8,19,,33,61,.541,5,11,.455,11,17,.647,9,30,18,5,4,10,12,2024,louisiana lafayette
6,7,2023-11-27,,Loyola (LA),W,78,54,33,59,.559,10,18,.556,2,7,.286,7,33,15,14,8,10,12,,19,52,.365,6,17,.353,10,15,.667,8,27,7,3,2,17,8,2024,louisiana lafayette
7,8,2023-11-30,@,Samford,L,65,88,25,63,.397,3,19,.158,12,22,.545,12,26,7,13,4,14,20,,31,57,.544,5,17,.294,21,27,.778,11,39,17,13,5,15,20,2024,louisiana lafayette
8,9,2023-12-09,@,Louisiana Tech,L,67,72,26,56,.464,8,21,.381,7,11,.636,5,21,12,14,3,16,26,,21,49,.429,6,19,.316,24,37,.649,16,38,12,9,3,19,16,2024,louisiana lafayette
9,10,2023-12-13,,Eastern Kentucky,W,73,62,28,65,.431,6,18,.333,11,15,.733,12,33,8,10,3,10,15,,22,55,.400,5,17,.294,13,21,.619,11,35,13,7,6,19,16,2024,louisiana lafayette
10,11,2023-12-17,@,McNeese State,L,72,74,24,50,.480,7,18,.389,17,20,.850,6,22,12,5,4,11,23,,24,47,.511,7,15,.467,19,28,.679,8,26,13,6,3,11,17,2024,louisiana lafayette
11,12,2023-12-22,@,Rice,W,84,67,30,61,.492,13,28,.464,11,14,.786,11,38,17,8,5,9,20,,21,55,.382,11,26,.423,14,18,.778,9,25,12,5,4,12,13,2024,louisiana lafayette
12,13,2023-12-30,@,Marshall,L,61,75,20,61,.328,5,22,.227,16,21,.762,9,31,6,6,3,11,19,,24,58,.414,7,20,.350,20,25,.800,12,36,17,8,6,9,17,2024,louisiana lafayette
13,14,2024-01-04,,James Madison,L,61,68,23,56,.411,5,19,.263,10,18,.556,5,30,8,5,4,13,20,,24,58,.414,5,22,.227,15,24,.625,9,41,11,3,2,18,16,2024,louisiana lafayette
14,15,2024-01-06,,Coastal Carolina,W,85,77,29,64,.453,9,26,.346,18,23,.783,8,34,16,11,6,9,17,,29,60,.483,3,14,.214,16,24,.667,6,33,9,7,3,14,19,2024,louisiana lafayette
15,16,2024-01-10,@,Troy,L,73,79,28,58,.483,5,17,.294,12,16,.750,8,28,13,10,3,19,21,,27,54,.500,4,19,.211,21,28,.750,7,28,14,16,3,15,20,2024,louisiana lafayette
16,17,2024-01-13,@,Arkansas State,W,84,77,33,61,.541,5,13,.385,13,16,.813,5,22,19,10,3,5,20,,24,50,.480,4,22,.182,25,28,.893,9,32,10,4,6,14,14,2024,louisiana lafayette
17,18,2024-01-17,@,Texas State,W,86,68,34,62,.548,10,26,.385,8,12,.667,5,30,19,9,6,12,15,,25,58,.431,1,13,.077,17,18,.944,4,28,8,6,3,12,10,2024,louisiana lafayette
18,19,2024-01-20,@,South Alabama,W,88,79,30,62,.484,10,20,.500,18,22,.818,14,37,11,8,2,14,16,,29,55,.527,7,18,.389,14,17,.824,4,20,14,8,6,11,18,2024,louisiana lafayette
19,20,2024-01-26,,Arkansas State,W,81,75,25,52,.481,5,12,.417,26,32,.813,10,36,10,6,5,14,24,,26,66,.394,6,26,.231,17,34,.500,17,34,9,6,2,11,24,2024,louisiana lafayette
20,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2024,louisiana lafayette
21,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2024,louisiana lafayette
22,21,2024-01-28,,Texas State,W,66,46,26,61,.426,6,22,.273,8,9,.889,12,37,8,10,4,14,15,,18,51,.353,2,12,.167,8,13,.615,6,26,7,7,6,20,13,2024,louisiana lafayette
23,22,2024-01-31,,Louisiana-Monroe,W,80,72,24,55,.436,10,28,.357,22,27,.815,11,28,12,9,0,9,21,,27,49,.551,3,12,.250,15,22,.682,5,26,9,4,0,14,20,2024,louisiana lafayette
24,23,2024-02-03,,South Alabama,W,80,60,32,72,.444,9,26,.346,7,9,.778,15,43,12,7,0,11,11,,23,57,.404,4,19,.211,10,13,.769,6,29,9,5,3,13,12,2024,louisiana lafayette
25,24,2024-02-07,,Georgia State,L,69,78,22,59,.373,8,28,.286,17,25,.680,8,34,10,4,4,8,20,,25,56,.446,4,18,.222,24,31,.774,6,32,7,2,5,6,19,2024,louisiana lafayette
26,25,2024-02-11,,Bowling Green State,W,86,60,33,58,.569,9,18,.500,11,15,.733,5,27,12,10,2,5,13,,24,55,.436,4,21,.190,8,14,.571,8,28,8,4,2,14,15,2024,louisiana lafayette
27,26,2024-02-15,@,Old Dominion,W,68,60,23,64,.359,7,28,.250,15,22,.682,14,42,15,6,5,10,16,,23,61,.377,4,23,.174,10,18,.556,11,38,10,6,5,15,20,2024,louisiana lafayette
28,27,2024-02-17,@,Appalachian State,L,73,85,31,69,.449,6,22,.273,5,5,1.000,10,33,10,2,2,8,15,,31,64,.484,8,16,.500,15,17,.882,10,32,11,7,5,5,8,2024,louisiana lafayette
29,28,2024-02-22,@,Louisiana-Monroe,L,59,66,24,65,.369,4,22,.182,7,16,.438,13,37,11,6,3,15,20,,21,49,.429,4,14,.286,20,30,.667,6,34,10,6,2,13,16,2024,louisiana lafayette
30,29,2024-02-24,@,Southern Miss,L,71,82,26,66,.394,6,25,.240,13,18,.722,10,26,13,11,1,8,19,,30,57,.526,7,15,.467,15,24,.625,15,43,15,7,1,16,16,2024,louisiana lafayette
31,30,2024-02-28,,Troy,L,73,87,23,50,.460,1,12,.083,26,35,.743,9,27,5,8,5,20,24,,20,52,.385,9,22,.409,38,42,.905,8,29,12,16,2,14,24,2024,louisiana lafayette
32,31,2024-03-01,,Southern Miss,W,77,61,30,71,.423,6,23,.261,11,15,.733,11,37,9,17,3,7,15,,24,60,.400,4,18,.222,9,14,.643,8,34,7,6,6,19,15,2024,louisiana lafayette
33,32,2024-03-07,N,Coastal Carolina,W,80,66,31,64,.484,9,29,.310,9,14,.643,9,29,18,11,3,8,17,,24,60,.400,3,20,.150,15,19,.789,13,38,8,5,3,16,13,2024,louisiana lafayette
34,33,2024-03-09,N,Arkansas State,L,62,89,22,54,.407,3,15,.200,15,20,.750,4,23,5,8,5,14,13,,34,68,.500,9,22,.409,12,14,.857,12,40,15,14,7,10,14,2024,louisiana lafayette
0,1,2023-11-06,,Mississippi Valley State,W,106,60,34,59,.576,14,26,.538,24,34,.706,12,38,19,12,5,12,21,,21,55,.382,6,15,.400,12,23,.522,12,29,5,7,2,18,22,2024,louisiana state
1,2,2023-11-10,,Nicholls State,L,66,68,22,56,.393,3,19,.158,19,26,.731,11,30,5,11,2,13,12,,21,49,.429,12,30,.400,14,15,.933,6,21,11,9,2,19,22,2024,louisiana state
2,3,2023-11-16,N,Dayton,L,67,70,26,49,.531,7,16,.438,8,12,.667,4,27,13,8,4,14,18,,22,56,.393,11,34,.324,15,22,.682,11,30,12,9,2,10,11,2024,louisiana state
3,4,2023-11-17,N,North Texas,W,66,62,24,48,.500,4,13,.308,14,18,.778,6,31,10,8,1,13,12,,19,60,.317,12,32,.375,12,12,1.000,11,30,9,4,3,10,17,2024,louisiana state
4,5,2023-11-19,N,Wake Forest,W (1 OT),86,80,29,71,.408,7,18,.389,21,31,.677,16,40,7,13,7,11,22,,28,60,.467,8,23,.348,16,20,.800,7,34,15,6,8,18,19,2024,louisiana state
5,6,2023-11-24,,North Florida,W,75,63,23,50,.460,4,14,.286,25,32,.781,10,42,11,10,9,15,15,,23,65,.354,11,35,.314,6,10,.600,13,34,8,11,2,13,21,2024,louisiana state
6,7,2023-11-28,@,Syracuse,L,57,80,24,61,.393,2,22,.091,7,10,.700,11,33,8,9,2,18,19,,25,63,.397,11,21,.524,19,23,.826,15,40,16,9,8,14,13,2024,louisiana state
7,8,2023-12-01,,Southeastern Louisiana,W,73,66,22,45,.489,8,23,.348,21,29,.724,9,35,10,7,6,17,19,,22,61,.361,8,31,.258,14,16,.875,11,28,14,9,1,10,23,2024,louisiana state
8,9,2023-12-09,,Kansas State,L,60,75,22,53,.415,6,20,.300,10,15,.667,5,23,10,10,3,15,17,,26,55,.473,8,24,.333,15,22,.682,12,34,15,8,5,17,15,2024,louisiana state
9,10,2023-12-13,,Alabama State,W,74,56,25,48,.521,9,23,.391,15,23,.652,6,34,11,9,3,14,16,,22,61,.361,9,26,.346,3,8,.375,11,29,10,5,1,13,18,2024,louisiana state
10,11,2023-12-16,N,Texas,L,85,96,29,63,.460,11,25,.440,16,23,.696,9,27,11,7,6,13,23,,32,59,.542,10,20,.500,22,25,.880,7,31,21,5,5,12,19,2024,louisiana state
11,12,2023-12-21,,Lamar,W,87,66,31,72,.431,9,38,.237,16,25,.640,14,40,18,12,3,11,17,,26,60,.433,6,22,.273,8,14,.571,9,35,10,9,3,19,19,2024,louisiana state
12,13,2023-12-29,,Northwestern State,W,96,55,36,59,.610,11,21,.524,13,20,.650,5,36,22,17,4,11,11,,21,59,.356,5,21,.238,8,14,.571,7,26,7,9,3,20,14,2024,louisiana state
13,14,2024-01-06,@,Texas A&M,W,68,53,27,67,.403,6,24,.250,8,11,.727,11,36,16,6,7,11,20,,15,59,.254,5,28,.179,18,26,.692,9,34,7,10,2,12,14,2024,louisiana state
14,15,2024-01-09,,Vanderbilt,W,77,69,27,64,.422,3,16,.188,20,23,.870,6,35,10,11,2,8,12,,27,61,.443,7,27,.259,8,12,.667,7,37,10,7,7,14,15,2024,louisiana state
15,16,2024-01-13,@,Auburn,L,78,93,25,60,.417,9,23,.391,19,25,.760,8,33,12,6,3,16,21,,28,61,.459,10,25,.400,27,31,.871,7,31,20,15,7,8,18,2024,louisiana state
16,17,2024-01-17,,Ole Miss,W,89,80,28,58,.483,10,21,.476,23,31,.742,9,41,13,10,3,15,21,,24,65,.369,6,24,.250,26,29,.897,8,32,7,8,5,10,19,2024,louisiana state
17,18,2024-01-20,,Texas A&M,L,69,73,25,60,.417,11,34,.324,8,10,.800,6,33,15,1,2,7,19,,26,69,.377,10,33,.303,11,20,.550,18,44,11,5,3,5,10,2024,louisiana state
18,19,2024-01-24,@,Georgia,L,66,68,22,57,.386,10,23,.435,12,14,.857,11,30,11,9,2,15,19,,22,51,.431,5,17,.294,19,24,.792,8,28,6,7,5,17,17,2024,louisiana state
19,20,2024-01-27,@,Alabama,L,88,109,30,71,.423,11,28,.393,17,27,.630,12,30,13,7,4,10,24,,35,63,.556,14,34,.412,25,28,.893,10,37,23,8,4,12,19,2024,louisiana state
20,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2024,louisiana state
21,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2024,louisiana state
22,21,2024-02-03,,Arkansas,W,95,74,29,53,.547,12,23,.522,25,28,.893,4,28,17,5,6,10,25,,24,55,.436,3,13,.231,23,33,.697,6,26,10,8,3,10,20,2024,louisiana state
23,22,2024-02-07,@,Tennessee,L,68,88,24,58,.414,6,25,.240,14,22,.636,16,37,7,5,0,15,14,,31,56,.554,11,24,.458,15,20,.750,5,25,23,13,6,7,16,2024,louisiana state
24,23,2024-02-10,,Alabama,L,92,109,33,60,.550,7,19,.368,19,26,.731,3,25,15,5,4,12,16,,38,81,.469,18,44,.409,15,17,.882,15,38,25,8,2,8,18,2024,louisiana state
25,24,2024-02-13,@,Florida,L,80,82,28,55,.509,11,21,.524,13,21,.619,7,26,11,6,2,10,18,,33,68,.485,4,17,.235,12,20,.600,15,37,14,6,9,7,16,2024,louisiana state
26,25,2024-02-17,@,South Carolina,W,64,63,25,58,.431,5,13,.385,9,14,.643,12,37,6,6,6,10,10,,26,62,.419,6,20,.300,5,6,.833,8,30,15,7,2,9,12,2024,louisiana state
27,26,2024-02-21,,Kentucky,W,75,74,25,56,.446,9,20,.450,16,25,.640,11,37,12,6,3,13,13,,27,62,.435,8,20,.400,12,12,1.000,8,29,9,10,5,12,19,2024,louisiana state
28,27,2024-02-24,,Mississippi State,L,67,87,24,58,.414,3,17,.176,16,22,.727,9,31,4,8,7,13,17,,30,65,.462,10,21,.476,17,22,.773,12,31,14,8,6,12,16,2024,louisiana state
29,28,2024-02-27,,Georgia,W,67,66,22,47,.468,9,18,.500,14,18,.778,4,27,12,4,6,16,13,,22,59,.373,7,27,.259,15,19,.789,8,28,9,10,3,11,13,2024,louisiana state
30,29,2024-03-02,@,Vanderbilt,W,75,61,25,57,.439,10,31,.323,15,19,.789,14,38,12,1,1,9,19,,20,55,.364,3,21,.143,18,25,.720,8,24,7,4,2,6,19,2024,louisiana state
31,30,2024-03-06,@,Arkansas,L,83,94,30,67,.448,5,18,.278,18,26,.692,11,29,9,9,0,10,21,,31,51,.608,5,16,.313,27,33,.818,4,34,18,8,10,15,19,2024,louisiana state
32,31,2024-03-09,,Missouri,W,84,80,26,57,.456,6,22,.273,26,37,.703,13,36,14,8,4,15,16,,29,61,.475,9,29,.310,13,16,.813,7,25,8,9,2,15,28,2024,louisiana state
33,32,2024-03-14,N,Mississippi State,L,60,70,19,50,.380,7,20,.350,15,21,.714,6,33,9,9,4,16,19,,23,55,.418,6,21,.286,18,27,.667,7,33,11,10,2,11,16,2024,louisiana state
34,33,2024-03-19,,North Texas,L,77,84,27,60,.450,11,23,.478,12,12,1.000,9,31,15,9,4,12,14,,29,59,.492,11,26,.423,15,23,.652,9,30,13,10,3,10,10,2024,louisiana state
0,1,2023-11-06,@,Colorado State,L,73,81,29,65,.446,7,24,.292,8,10,.800,13,37,13,7,2,13,23,,26,51,.510,6,16,.375,23,26,.885,0,22,19,7,3,10,14,2024,louisiana tech
1,2,2023-11-13,,Lyon,W,100,43,38,73,.521,12,31,.387,12,21,.571,11,41,23,15,3,6,17,,15,48,.313,3,13,.231,10,20,.500,5,29,5,3,3,22,15,2024,louisiana tech
2,3,2023-11-16,@,Louisiana-Monroe,W,73,63,22,51,.431,9,26,.346,20,28,.714,7,34,17,6,3,13,19,,23,63,.365,4,18,.222,13,21,.619,13,38,15,11,1,8,21,2024,louisiana tech
3,4,2023-11-21,,Southern Utah,W,67,53,24,51,.471,3,12,.250,16,24,.667,7,35,11,10,5,10,16,,19,59,.322,6,22,.273,9,14,.643,10,29,5,5,1,11,18,2024,louisiana tech
4,5,2023-11-22,,McNeese State,W,71,62,19,47,.404,10,27,.370,23,29,.793,10,31,15,7,6,11,11,,25,56,.446,6,22,.273,6,9,.667,5,25,8,8,4,10,22,2024,louisiana tech
5,6,2023-11-25,,Dillard,W,105,65,39,71,.549,12,26,.462,15,20,.750,16,45,19,15,2,12,14,,22,61,.361,8,24,.333,13,15,.867,10,28,4,6,1,19,13,2024,louisiana tech
6,7,2023-11-29,@,New Mexico,L,65,74,21,59,.356,8,19,.421,15,21,.714,8,33,8,5,6,11,19,,25,66,.379,9,24,.375,15,22,.682,12,42,16,8,8,9,20,2024,louisiana tech
7,8,2023-12-02,,Nicholls State,W,68,55,23,59,.390,8,24,.333,14,21,.667,14,42,12,7,4,12,13,,17,50,.340,7,19,.368,14,21,.667,6,26,8,7,6,13,15,2024,louisiana tech
8,9,2023-12-05,@,Stephen F. Austin,W,56,49,15,40,.375,4,14,.286,22,36,.611,5,34,6,4,6,14,24,,14,64,.219,1,18,.056,20,32,.625,14,39,3,5,4,11,27,2024,louisiana tech
9,10,2023-12-09,,Louisiana,W,72,67,21,49,.429,6,19,.316,24,37,.649,16,38,12,9,3,19,16,,26,56,.464,8,21,.381,7,11,.636,5,21,12,14,3,16,26,2024,louisiana tech
10,11,2023-12-12,,Southeastern Louisiana,W,89,60,31,67,.463,14,26,.538,13,18,.722,13,40,19,11,4,11,10,,23,61,.377,8,26,.308,6,9,.667,7,32,13,4,6,16,16,2024,louisiana tech
11,12,2023-12-16,@,Saint Louis,L,74,75,24,59,.407,7,22,.318,19,27,.704,12,32,12,5,3,0,15,,27,50,.540,10,18,.556,11,15,.733,6,32,18,0,1,9,20,2024,louisiana tech
12,13,2023-12-20,@,Seattle,L (1 OT),73,79,27,70,.386,4,23,.174,15,22,.682,13,46,9,3,9,14,22,,24,64,.375,9,24,.375,22,29,.759,9,39,8,4,6,10,23,2024,louisiana tech
13,14,2023-12-30,@,Grand Canyon,L,70,73,28,50,.560,6,14,.429,8,15,.533,4,23,13,8,1,14,13,,24,54,.444,11,20,.550,14,16,.875,9,24,13,7,5,11,15,2024,louisiana tech
14,15,2024-01-03,,Dallas Christian,W,96,55,35,58,.603,7,22,.318,19,25,.760,11,38,20,13,11,10,9,,21,59,.356,8,23,.348,5,11,.455,9,23,8,6,0,19,15,2024,louisiana tech
15,16,2024-01-06,@,Sam Houston,L,77,81,25,57,.439,10,25,.400,17,24,.708,10,40,14,3,7,14,16,,28,64,.438,9,21,.429,16,20,.800,7,27,17,8,2,6,21,2024,louisiana tech
16,17,2024-01-11,@,Middle Tennessee,W,60,52,19,52,.365,8,19,.421,14,18,.778,10,29,8,11,4,12,9,,21,54,.389,5,22,.227,5,7,.714,6,29,4,7,5,18,18,2024,louisiana tech
17,18,2024-01-14,,Liberty,W (1 OT),80,76,27,58,.466,5,13,.385,21,28,.750,8,34,9,1,11,12,17,,26,60,.433,10,27,.370,14,19,.737,6,28,14,8,2,9,20,2024,louisiana tech
18,19,2024-01-20,@,Jacksonville State,W,74,57,27,50,.540,5,14,.357,15,24,.625,8,25,8,9,2,10,13,,22,46,.478,3,13,.231,10,19,.526,9,24,11,7,2,17,15,2024,louisiana tech
19,20,2024-01-25,,UTEP,W,68,54,21,43,.488,6,14,.429,20,33,.606,8,41,10,5,9,18,18,,18,61,.295,3,17,.176,15,22,.682,9,25,8,11,3,12,22,2024,louisiana tech
20,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2024,louisiana tech
21,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2024,louisiana tech
22,21,2024-01-27,,New Mexico State,W,73,53,22,58,.379,7,23,.304,22,32,.688,14,45,10,4,2,7,12,,20,61,.328,3,14,.214,10,16,.625,11,36,4,3,1,9,21,2024,louisiana tech
23,22,2024-02-01,@,Florida International,W,93,53,35,56,.625,11,21,.524,12,12,1.000,9,35,22,12,5,14,11,,19,59,.322,5,19,.263,10,13,.769,9,17,6,8,2,14,11,2024,louisiana tech
24,23,2024-02-07,,Western Kentucky,L,76,81,26,63,.413,7,29,.241,17,27,.630,9,29,10,8,7,9,24,,27,58,.466,4,13,.308,23,28,.821,12,36,8,6,2,13,21,2024,louisiana tech
25,24,2024-02-10,@,Liberty,L,62,65,27,52,.519,4,13,.308,4,7,.571,6,29,11,11,5,19,14,,25,53,.472,9,23,.391,6,10,.600,2,21,10,10,4,15,12,2024,louisiana tech
26,25,2024-02-15,,Jacksonville State,W,63,58,21,52,.404,4,14,.286,17,21,.810,10,28,11,7,6,10,15,,21,53,.396,6,19,.316,10,12,.833,12,33,7,9,2,18,17,2024,louisiana tech
27,26,2024-02-17,,Florida International,W,75,68,23,48,.479,6,10,.600,23,29,.793,11,35,8,7,6,14,16,,22,60,.367,9,26,.346,15,21,.714,11,23,10,11,5,12,22,2024,louisiana tech
28,27,2024-02-22,@,UTEP,W,65,59,23,54,.426,8,23,.348,11,17,.647,13,42,12,8,7,18,11,,24,62,.387,8,21,.381,3,5,.600,6,26,19,13,2,10,17,2024,louisiana tech
29,28,2024-02-24,@,New Mexico State,W,67,58,23,48,.479,5,21,.238,16,21,.762,9,35,10,4,4,9,16,,19,49,.388,8,18,.444,12,22,.545,5,22,12,3,0,5,18,2024,louisiana tech
30,29,2024-02-28,@,Western Kentucky,W,90,84,27,56,.482,11,20,.550,25,32,.781,7,34,13,7,5,12,21,,27,62,.435,12,31,.387,18,25,.720,5,25,12,6,2,12,22,2024,louisiana tech
31,30,2024-03-07,,Sam Houston,L,66,72,24,57,.421,3,15,.200,15,23,.652,9,30,9,7,6,12,17,,25,62,.403,8,30,.267,14,18,.778,12,39,13,7,2,13,21,2024,louisiana tech
32,31,2024-03-09,,Middle Tennessee,W,84,70,32,66,.485,7,16,.438,13,18,.722,14,41,16,6,3,5,17,,20,53,.377,7,23,.304,23,29,.793,5,26,7,4,2,8,17,2024,louisiana tech
33,32,2024-03-13,N,Middle Tennessee,L,67,70,25,63,.397,5,14,.357,12,18,.667,13,37,14,5,4,9,12,,21,53,.396,9,21,.429,19,22,.864,4,30,9,6,5,9,14,2024,louisiana tech
0,1,2023-11-06,@,Houston,L,31,84,11,39,.282,3,16,.188,6,17,.353,10,27,7,4,2,24,22,,26,61,.426,11,35,.314,21,29,.724,20,40,19,15,5,10,19,2024,louisiana monroe
1,2,2023-11-11,@,Central Michigan,W,74,64,29,60,.483,10,24,.417,6,9,.667,12,31,17,12,4,13,17,,22,54,.407,10,28,.357,10,14,.714,12,30,11,5,3,18,14,2024,louisiana monroe
2,3,2023-11-16,,Louisiana Tech,L,63,73,23,63,.365,4,18,.222,13,21,.619,13,38,15,11,1,8,21,,22,51,.431,9,26,.346,20,28,.714,7,34,17,6,3,13,19,2024,louisiana monroe
3,4,2023-11-20,,Ecclesia,W,103,74,41,78,.526,10,27,.370,11,19,.579,19,52,27,12,2,11,15,,24,69,.348,9,33,.273,17,19,.895,11,31,19,8,1,14,11,2024,louisiana monroe
4,5,2023-11-26,@,SMU,L,57,70,22,65,.338,5,25,.200,8,12,.667,16,36,14,6,2,8,18,,22,51,.431,8,21,.381,18,25,.720,9,36,12,6,2,9,12,2024,louisiana monroe
5,6,2023-11-28,,Northwestern State,W,74,70,24,62,.387,3,20,.150,23,35,.657,19,43,8,3,7,13,18,,24,55,.436,11,30,.367,11,14,.786,5,22,14,6,4,12,26,2024,louisiana monroe
6,7,2023-12-05,,Champion Christian,W,110,63,44,74,.595,8,16,.500,14,17,.824,10,40,29,16,8,13,17,,19,68,.279,10,33,.303,15,18,.833,15,33,12,9,5,25,13,2024,louisiana monroe
7,8,2023-12-12,@,Sam Houston,L,62,63,23,55,.418,6,18,.333,10,12,.833,6,36,12,5,1,12,27,,19,51,.373,5,21,.238,20,33,.606,6,28,9,7,2,9,14,2024,louisiana monroe
8,9,2023-12-14,@,Lamar,L,73,97,25,57,.439,8,24,.333,15,23,.652,7,23,16,6,3,10,23,,31,59,.525,11,25,.440,24,29,.828,8,36,20,4,5,10,21,2024,louisiana monroe
9,10,2023-12-18,@,Jacksonville,L,65,75,22,60,.367,4,18,.222,17,27,.630,12,32,13,5,3,18,23,,22,49,.449,8,14,.571,23,33,.697,8,31,14,11,4,15,22,2024,louisiana monroe
10,11,2023-12-30,@,Appalachian State,L,55,67,23,62,.371,4,11,.364,5,13,.385,10,34,13,6,1,11,16,,25,60,.417,4,27,.148,13,16,.813,10,37,15,5,7,8,11,2024,louisiana monroe
11,12,2024-01-03,,Marshall,L,57,68,19,59,.322,1,15,.067,18,26,.692,11,35,12,6,3,15,16,,24,58,.414,9,27,.333,11,19,.579,9,38,20,9,6,15,17,2024,louisiana monroe
12,13,2024-01-06,,Georgia Southern,L,68,76,21,57,.368,4,22,.182,22,31,.710,14,36,10,4,2,11,14,,28,56,.500,11,28,.393,9,14,.643,7,30,17,8,6,8,21,2024,louisiana monroe
13,14,2024-01-11,,Southern Miss,L,58,71,22,60,.367,3,16,.188,11,19,.579,10,36,10,8,2,14,21,,22,56,.393,6,20,.300,21,27,.778,9,39,10,9,10,10,15,2024,louisiana monroe
14,15,2024-01-13,,Texas State,L,54,67,20,59,.339,1,14,.071,13,19,.684,11,34,9,5,2,7,18,,23,47,.489,6,11,.545,15,23,.652,5,30,10,4,5,7,20,2024,louisiana monroe
15,16,2024-01-18,@,James Madison,L,70,89,24,55,.436,4,13,.308,18,25,.720,9,30,10,5,1,9,16,,31,61,.508,16,39,.410,11,15,.733,7,33,23,4,3,5,19,2024,louisiana monroe
16,17,2024-01-20,@,Old Dominion,W,80,73,24,49,.490,6,16,.375,26,36,.722,11,42,10,4,3,12,14,,26,61,.426,8,25,.320,13,15,.867,5,20,12,6,2,6,21,2024,louisiana monroe
